k1,k2,k3,t1,t2,t3,loop,cost,accuracy,Singular
-1,-1,0,0,0,0,0,4.470148571428573,81.63265306122449,0
-1,1,0,0,2,0,0,3.442641836734694,79.59183673469387,0
-1,3,0,0,4,0,9,8.089018408163266,84.6938775510204,0
-1,3,10,0,4,2,9,32.01728338775511,85.91836734693878,0
-1,5,10,0,4,2,9,33.499665244897955,86.73469387755102,0
-1,10,-1,0,4,0,9,19.584100714285714,85.71428571428571,0
0,-1,-1,0,0,0,0,0.4255402040816325,57.14285714285714,0
1,-1,0,4,0,0,0,2.900902857142857,77.55102040816327,0
1,0,-1,2,0,0,0,1.0355812244897955,69.38775510204081,0
1,1,0,2,2,0,0,2.1237918367346937,75.51020408163265,0
3,-1,-1,4,0,0,9,1.7223288571428572,70.61224489795919,0
3,-1,0,4,0,0,9,4.167486081632655,81.22448979591837,0
3,3,0,4,4,0,9,6.895068224489796,82.44897959183672,0
10,-1,10,4,0,2,9,32.31765724489796,86.3265306122449,0
10,10,-1,4,4,0,9,16.396801020408162,85.10204081632654,0
-1,-1,0,0,0,0,0,4.470148571428573,81.63265306122449,1
-1,-1,3,0,0,2,9,15.487978448979591,83.46938775510203,1
-1,-1,3,0,0,4,9,18.527819918367346,84.08163265306122,1
-1,-1,10,0,0,2,9,51.99850138775511,86.3265306122449,1
-1,0,-1,0,0,0,0,1.4623214285714283,69.38775510204081,1
-1,5,-1,0,4,0,9,9.823284999999998,83.26530612244898,1
-1,10,-1,0,4,0,9,19.584100714285714,85.71428571428571,1
0,-1,-1,0,0,0,0,0.4255402040816325,57.14285714285714,1
3,-1,-1,2,0,0,9,1.4613059183673467,66.73469387755102,1
3,-1,-1,4,0,0,9,1.7223288571428572,70.61224489795919,1
5,-1,-1,2,0,0,9,2.434540571428572,70.81632653061224,1
5,-1,-1,4,0,0,9,2.868215816326531,74.89795918367346,1
