k1,k2,k3,t1,t2,t3,loop,cost,accuracy
-1,-1,0,0,0,0,0,4.617064878048782,72.5609756097561
-1,-1,3,0,0,2,9,16.212388097560982,77.07317073170732
-1,-1,3,0,0,4,9,19.208574536585367,78.17073170731707
-1,-1,5,0,0,2,9,26.96174102439025,78.65853658536585
-1,-1,5,0,0,4,9,31.966636390243902,80.42682926829269
-1,-1,10,0,0,2,9,53.97378585365854,80.54878048780488
-1,-1,10,0,0,4,9,63.85801453658537,82.2560975609756
-1,0,-1,0,0,0,0,1.5004670731707315,64.63414634146342
-1,1,0,0,2,0,0,3.467533719512197,72.5609756097561
-1,1,0,0,4,0,0,4.8792628048780475,72.5609756097561
-1,1,3,0,2,2,9,7.626532841463417,75.79268292682927
-1,1,3,0,2,4,9,8.69197137804878,75.79268292682927
-1,1,3,0,4,2,9,11.291010951219512,76.76829268292683
-1,1,3,0,4,4,9,13.001303292682929,77.01219512195122
-1,1,5,0,2,2,9,11.46972625609756,76.70731707317073
-1,1,5,0,2,4,9,13.271814402439027,76.64634146341463
-1,1,5,0,4,2,9,17.21633265853659,78.10975609756098
-1,1,5,0,4,4,9,20.08775924390244,78.47560975609757
-1,1,10,0,2,2,9,21.147432890243905,78.17073170731707
-1,1,10,0,2,4,9,24.721187475609756,78.29268292682927
-1,1,10,0,4,2,9,32.093399097560976,80.0
-1,1,10,0,4,4,9,37.78704685365853,80.42682926829269
-1,3,-1,0,2,0,9,4.962526006097562,69.6341463414634
-1,3,-1,0,4,0,9,5.918925762195121,72.07317073170731
-1,3,0,0,2,0,9,7.302677274390246,74.02439024390245
-1,3,0,0,4,0,9,9.232867859756098,74.63414634146342
-1,3,3,0,2,2,9,13.311526006097562,77.13414634146342
-1,3,3,0,2,4,9,14.905512396341464,77.25609756097562
-1,3,3,0,4,2,9,17.770173908536584,78.53658536585367
-1,3,3,0,4,4,9,20.063217810975605,78.96341463414635
-1,3,5,0,2,2,9,18.83604634756098,77.8048780487805
-1,3,5,0,2,4,9,21.486091762195127,78.17073170731707
-1,3,5,0,4,2,9,25.67536254268293,79.9390243902439
-1,3,5,0,4,4,9,29.51407600609756,80.67073170731706
-1,3,10,0,2,2,9,32.741987713414645,79.20731707317074
-1,3,10,0,2,4,9,37.949949518292684,79.57317073170731
-1,3,10,0,4,2,9,45.492766152439025,81.76829268292683
-1,3,10,0,4,4,9,53.05117200609755,82.1951219512195
-1,5,-1,0,2,0,9,8.283633323170731,72.1951219512195
-1,5,-1,0,4,0,9,9.89207368902439,75.42682926829268
-1,5,0,0,2,0,9,10.986537225609759,74.02439024390245
-1,5,0,0,4,0,9,13.48646320121951,74.02439024390245
-1,5,3,0,2,2,9,17.924920298780492,77.5609756097561
-1,5,3,0,2,4,9,19.757467176829266,77.7439024390244
-1,5,3,0,4,2,9,22.716742420731705,78.35365853658537
-1,5,3,0,4,4,9,25.190218518292678,78.96341463414635
-1,5,5,0,2,2,9,24.302260445121952,78.29268292682927
-1,5,5,0,2,4,9,27.36715181097561,78.78048780487805
-1,5,5,0,4,2,9,31.25288837195122,79.81707317073172
-1,5,5,0,4,4,9,35.383341689024384,80.67073170731706
-1,5,10,0,2,2,9,40.32170210365854,79.8780487804878
-1,5,10,0,2,4,9,46.31983844512196,80.18292682926831
-1,5,10,0,4,2,9,52.68587593292683,81.70731707317074
-1,5,10,0,4,4,9,60.81957910365854,82.25609756097562
-1,10,-1,0,2,0,9,16.524386310975608,75.3048780487805
-1,10,-1,0,4,0,9,19.744101402439025,78.78048780487805
-1,10,0,0,2,0,9,19.719689920731714,73.41463414634146
-1,10,0,0,4,0,9,23.65161852439025,73.71951219512195
-1,10,3,0,2,2,9,27.889331432926827,77.8048780487805
-1,10,3,0,2,4,9,30.03535148170732,78.04878048780488
-1,10,3,0,4,2,9,33.637491499999996,78.23170731707317
-1,10,3,0,4,4,9,36.280958914634155,78.84146341463415
-1,10,5,0,2,2,9,35.41021923780488,78.78048780487805
-1,10,5,0,2,4,9,38.9987959207317,79.20731707317074
-1,10,5,0,4,2,9,42.8697083292683,79.69512195121952
-1,10,5,0,4,4,9,47.287187060975604,80.60975609756098
-1,10,10,0,2,2,9,54.30200074999998,80.3658536585366
-1,10,10,0,2,4,9,61.35119782317073,80.54878048780488
-1,10,10,0,4,2,9,66.03784393902438,81.58536585365853
-1,10,10,0,4,4,9,74.74540047560977,82.1951219512195
0,-1,-1,0,0,0,0,0.44146621951219545,56.70731707317073
1,-1,0,2,0,0,0,2.456541158536585,70.73170731707317
1,-1,0,4,0,0,0,3.3478390853658535,72.5609756097561
1,-1,3,2,0,2,9,7.276326914634146,73.90243902439025
1,-1,3,2,0,4,9,8.532971743902438,74.26829268292683
1,-1,3,4,0,2,9,10.313558500000001,76.15853658536585
1,-1,3,4,0,4,9,12.140033378048782,76.82926829268293
1,-1,5,2,0,2,9,11.749465646341461,74.6951219512195
1,-1,5,2,0,4,9,13.865656378048781,75.54878048780488
1,-1,5,4,0,2,9,16.759973817073178,77.3170731707317
1,-1,5,4,0,4,9,19.825815475609758,78.65853658536585
1,-1,10,2,0,2,9,23.001474036585368,75.91463414634147
1,-1,10,2,0,4,9,27.18829081707317,77.07317073170732
1,-1,10,4,0,2,9,32.97296664634147,78.90243902439025
1,-1,10,4,0,4,9,39.059122304878045,80.3658536585366
1,0,-1,2,0,0,0,1.1556129268292679,67.6829268292683
1,0,-1,4,0,0,0,1.5112744512195124,66.46341463414635
1,1,-1,2,2,0,0,1.2740559146341457,67.6829268292683
1,1,-1,2,4,0,0,1.401054695121951,67.6829268292683
1,1,-1,4,2,0,0,1.686485731707318,66.46341463414635
1,1,-1,4,4,0,0,1.9554052439024385,66.46341463414635
1,1,0,2,2,0,0,2.405397865853658,71.34146341463415
1,1,0,2,4,0,0,2.686294695121951,70.73170731707317
1,1,0,4,2,0,0,2.9824628048780495,71.95121951219512
1,1,0,4,4,0,0,3.830567195121952,71.34146341463415
1,1,3,2,2,2,9,5.178944304878049,72.98780487804878
1,1,3,2,2,4,9,5.928206890243902,72.98780487804878
1,1,3,2,4,2,9,5.889250012195121,72.74390243902438
1,1,3,2,4,4,9,6.76238386585366,72.74390243902438
1,1,3,4,2,2,9,6.207867243902441,74.32926829268293
1,1,3,4,2,4,9,7.065265731707317,74.32926829268293
1,1,3,4,4,2,9,8.509129585365853,74.08536585365853
1,1,3,4,4,4,9,9.778300999999999,74.26829268292683
1,1,5,2,2,2,9,7.740279280487803,73.59756097560975
1,1,5,2,2,4,9,9.012844597560974,73.59756097560975
1,1,5,2,4,2,9,8.84093313414634,73.47560975609755
1,1,5,2,4,4,9,10.32215557317073,73.59756097560975
1,1,5,4,2,2,9,9.173965195121951,75.1829268292683
1,1,5,4,2,4,9,10.628813926829269,75.1829268292683
1,1,5,4,4,2,9,12.843118317073172,75.1829268292683
1,1,5,4,4,4,9,14.982486317073175,75.54878048780488
1,1,10,2,2,2,9,14.255671036585365,74.6951219512195
1,1,10,2,2,4,9,16.762197573170734,74.9390243902439
1,1,10,2,4,2,9,16.32440162195122,74.63414634146342
1,1,10,2,4,4,9,19.240306841463415,75.0609756097561
1,1,10,4,2,2,9,16.73581431707317,76.52439024390245
1,1,10,4,2,4,9,19.614510024390245,76.89024390243902
1,1,10,4,4,2,9,23.81865324390244,76.82926829268293
1,1,10,4,4,4,9,28.0495413902439,77.5
1,3,-1,2,2,0,9,2.604980426829268,69.02439024390243
1,3,-1,2,4,0,9,3.0028045121951212,69.87804878048782
1,3,-1,4,2,0,9,3.585928475609757,69.51219512195121
1,3,-1,4,4,0,9,4.177612225609756,71.46341463414633
1,3,0,2,2,0,9,3.934625012195121,72.3170731707317
1,3,0,2,4,0,9,4.59667982926829,72.01219512195122
1,3,0,4,2,0,9,5.211114085365853,73.65853658536585
1,3,0,4,4,0,9,6.499831347560976,74.08536585365853
1,3,3,2,2,2,9,7.3344636951219515,73.59756097560975
1,3,3,2,2,4,9,8.23724174390244,73.65853658536585
1,3,3,2,4,2,9,8.645605439024392,74.45121951219512
1,3,3,2,4,4,9,9.717708365853658,74.51219512195122
1,3,3,4,2,2,9,9.376160524390245,75.60975609756098
1,3,3,4,2,4,9,10.472909353658537,75.73170731707317
1,3,3,4,4,2,9,12.491426713414636,77.01219512195122
1,3,3,4,4,4,9,14.082340079268294,77.3170731707317
1,3,5,2,2,2,9,10.442167597560974,73.90243902439025
1,3,5,2,2,4,9,11.940112719512195,74.20731707317073
1,3,5,2,4,2,9,12.372048609756096,75.0609756097561
1,3,5,2,4,4,9,14.18004831707317,75.42682926829268
1,3,5,4,2,2,9,13.17970081707317,75.97560975609755
1,3,5,4,2,4,9,15.00349759756098,76.40243902439025
1,3,5,4,4,2,9,18.01263954268293,77.98780487804878
1,3,5,4,4,4,9,20.685060030487804,78.65853658536585
1,3,10,2,2,2,9,18.308492963414633,74.8780487804878
1,3,10,2,2,4,9,21.27945345121951,75.42682926829268
1,3,10,2,4,2,9,21.780575585365856,76.28048780487805
1,3,10,2,4,4,9,25.348455634146344,76.70731707317073
1,3,10,4,2,2,9,22.815680963414632,77.13414634146342
1,3,10,4,2,4,9,26.436073939024386,77.6829268292683
1,3,10,4,4,2,9,31.916544567073174,79.51219512195122
1,3,10,4,4,4,9,37.212846567073164,80.06097560975608
1,5,-1,2,2,0,9,4.012306951219512,70.42682926829269
1,5,-1,2,4,0,9,4.6770312195121955,71.58536585365853
1,5,-1,4,2,0,9,5.589046341463415,71.21951219512195
1,5,-1,4,4,0,9,6.584352652439025,74.08536585365853
1,5,0,2,2,0,9,5.478312365853657,72.5609756097561
1,5,0,2,4,0,9,6.340500048780486,72.01219512195122
1,5,0,4,2,0,9,7.411448536585366,73.90243902439025
1,5,0,4,4,0,9,8.988136506097565,73.84146341463415
1,5,3,2,2,2,9,9.21509768292683,73.90243902439025
1,5,3,2,2,4,9,10.204093195121951,74.02439024390245
1,5,3,2,4,2,9,10.535672000000002,74.57317073170732
1,5,3,2,4,4,9,11.647193560975609,74.6951219512195
1,5,3,4,2,2,9,12.090640341463418,75.97560975609755
1,5,3,4,2,4,9,13.31901087804878,76.15853658536585
1,5,3,4,4,2,9,15.165606652439028,77.01219512195122
1,5,3,4,4,4,9,16.810057286585366,77.3780487804878
1,5,5,2,2,2,9,12.643975829268292,74.26829268292683
1,5,5,2,2,4,9,14.312591048780488,74.6951219512195
1,5,5,2,4,2,9,14.420382097560978,75.2439024390244
1,5,5,2,4,4,9,16.294704829268294,75.60975609756098
1,5,5,4,2,2,9,16.36996873170732,76.40243902439025
1,5,5,4,2,4,9,18.4403356097561,76.95121951219512
1,5,5,4,4,2,9,20.866202652439025,78.04878048780488
1,5,5,4,4,4,9,23.628999676829274,78.71951219512195
1,5,10,2,2,2,9,21.313952609756097,75.36585365853658
1,5,10,2,2,4,9,24.600940951219513,75.85365853658537
1,5,10,2,4,2,9,24.223589073170732,76.46341463414635
1,5,10,2,4,4,9,27.926028097560977,76.89024390243902
1,5,10,4,2,2,9,27.187310780487802,77.7439024390244
1,5,10,4,2,4,9,31.277419853658536,78.23170731707317
1,5,10,4,4,2,9,35.24311894512196,79.63414634146342
1,5,10,4,4,4,9,40.72317299390244,80.18292682926828
1,10,-1,2,2,0,9,7.496067591463414,72.3780487804878
1,10,-1,2,4,0,9,8.80444292682927,73.71951219512195
1,10,-1,4,2,0,9,10.540863414634146,73.53658536585365
1,10,-1,4,4,0,9,12.514023841463418,76.89024390243902
1,10,0,2,2,0,9,9.090621689024394,72.1951219512195
1,10,0,2,4,0,9,10.529051365853661,71.82926829268293
1,10,0,4,2,0,9,12.59530980487805,73.53658536585365
1,10,0,4,4,0,9,14.99525037804879,73.65853658536585
1,10,3,2,2,2,9,13.150506518292683,74.26829268292683
1,10,3,2,2,4,9,14.21933895731707,74.32926829268293
1,10,3,2,4,2,9,14.874813853658537,74.57317073170732
1,10,3,2,4,4,9,16.01818873170732,74.6951219512195
1,10,3,4,2,2,9,17.880689609756097,76.28048780487805
1,10,3,4,2,4,9,19.271584878048785,76.52439024390245
1,10,3,4,4,2,9,21.371171256097565,76.95121951219512
1,10,3,4,4,4,9,23.06224793902439,77.3170731707317
1,10,5,2,2,2,9,16.88483588414634,74.7560975609756
1,10,5,2,2,4,9,18.68852842073171,75.0609756097561
1,10,5,2,4,2,9,18.89110863414634,75.2439024390244
1,10,5,2,4,4,9,20.8182528292683,75.60975609756098
1,10,5,4,2,2,9,22.723874780487805,76.89024390243902
1,10,5,4,2,4,9,25.065309560975614,77.3170731707317
1,10,5,4,4,2,9,27.24638662195122,77.98780487804878
1,10,5,4,4,4,9,30.086552280487805,78.65853658536585
1,10,10,2,2,2,9,26.319983396341463,75.85365853658537
1,10,10,2,2,4,9,29.88329710365854,76.15853658536585
1,10,10,2,4,2,9,29.023770975609754,76.46341463414635
1,10,10,2,4,4,9,32.83591326829268,76.89024390243902
1,10,10,4,2,2,9,34.95857219512195,78.23170731707317
1,10,10,4,2,4,9,39.597432097560976,78.59756097560975
1,10,10,4,4,2,9,42.060820134146354,79.57317073170732
1,10,10,4,4,4,9,47.698388280487805,80.12195121951218
3,-1,-1,2,0,0,9,1.4765289939024389,64.26829268292683
3,-1,-1,4,0,0,9,1.7542453231707313,66.58536585365854
3,-1,0,2,0,0,9,4.075616506097561,72.07317073170731
3,-1,0,4,0,0,9,5.108901908536586,74.45121951219512
3,-1,3,2,0,2,9,10.755569335365854,75.3048780487805
3,-1,3,2,0,4,9,12.532986896341459,75.67073170731707
3,-1,3,4,0,2,9,13.787789225609757,78.35365853658537
3,-1,3,4,0,4,9,16.12724937195122,78.90243902439025
3,-1,5,2,0,2,9,16.847661237804882,76.21951219512195
3,-1,5,2,0,4,9,19.821793481707317,76.64634146341463
3,-1,5,4,0,2,9,21.739640932926832,79.69512195121952
3,-1,5,4,0,4,9,25.65099625,80.67073170731706
3,-1,10,2,0,2,9,32.225766408536586,77.8658536585366
3,-1,10,2,0,4,9,38.041063969512194,78.17073170731707
3,-1,10,4,0,2,9,41.80742815243902,81.52439024390243
3,-1,10,4,0,4,9,49.506415615853655,82.25609756097562
3,0,-1,2,0,0,9,2.345420426829269,66.28048780487805
3,0,-1,4,0,0,9,2.882746268292684,67.13414634146342
3,1,0,2,2,0,9,3.8401767804878046,71.76829268292683
3,1,0,2,4,0,9,4.5622598597560975,71.52439024390243
3,1,0,4,2,0,9,4.55870756707317,73.35365853658537
3,1,0,4,4,0,9,5.725875079268292,73.10975609756098
3,1,3,2,2,2,9,7.222860829268293,73.71951219512195
3,1,3,2,2,4,9,8.087898682926829,73.71951219512195
3,1,3,2,4,2,9,9.073854591463416,74.57317073170732
3,1,3,2,4,4,9,10.266817469512194,74.63414634146342
3,1,3,4,2,2,9,8.242498640243904,76.15853658536585
3,1,3,4,2,4,9,9.20450337195122,76.15853658536585
3,1,3,4,4,2,9,11.337970445121956,76.95121951219512
3,1,3,4,4,4,9,12.867448006097565,77.07317073170732
3,1,5,2,2,2,9,10.282679853658536,74.26829268292683
3,1,5,2,2,4,9,11.749067853658536,74.08536585365853
3,1,5,2,4,2,9,13.15289337195122,75.42682926829268
3,1,5,2,4,4,9,15.163120298780493,75.36585365853658
3,1,5,4,2,2,9,11.601227908536586,77.01219512195122
3,1,5,4,2,4,9,13.228388152439027,76.82926829268293
3,1,5,4,4,2,9,16.4704518597561,78.23170731707317
3,1,5,4,4,4,9,19.03762434756098,78.29268292682927
3,1,10,2,2,2,9,18.07832565853659,75.60975609756098
3,1,10,2,2,4,9,20.968696390243906,75.48780487804878
3,1,10,2,4,2,9,23.495459323170735,77.01219512195122
3,1,10,2,4,4,9,27.462375908536586,76.95121951219512
3,1,10,4,2,2,9,20.167227859756096,78.41463414634147
3,1,10,4,2,4,9,23.394002201219514,78.29268292682927
3,1,10,4,4,2,9,29.477181859756097,80.0
3,1,10,4,4,4,9,34.56734439634146,80.0
3,3,-1,2,2,0,9,4.360970548780488,70.1219512195122
3,3,-1,2,4,0,9,4.914274878048779,71.15853658536587
3,3,-1,4,2,0,9,5.489984195121951,71.70731707317073
3,3,-1,4,4,0,9,6.2319336158536585,73.35365853658537
3,3,0,2,2,0,9,6.145496792682926,73.04878048780488
3,3,0,2,4,0,9,7.103934341463414,72.86585365853658
3,3,0,4,2,0,9,7.467814780487807,75.42682926829268
3,3,0,4,4,0,9,9.090056103658538,75.36585365853658
3,3,3,2,2,2,9,10.807336500000002,75.3048780487805
3,3,3,2,2,4,9,12.069584353658536,75.36585365853658
3,3,3,2,4,2,9,12.836716878048783,75.85365853658537
3,3,3,2,4,4,9,14.39831926829268,76.03658536585365
3,3,3,4,2,2,9,12.635037414634148,78.10975609756098
3,3,3,4,2,4,9,14.03568243902439,78.23170731707317
3,3,3,4,4,2,9,16.531464884146345,79.02439024390245
3,3,3,4,4,4,9,18.565609567073167,79.32926829268293
3,3,5,2,2,2,9,15.025870841463417,75.79268292682927
3,3,5,2,2,4,9,17.12256206097561,75.97560975609755
3,3,5,2,4,2,9,18.06535063414634,76.70731707317073
