Model,Num GPUs Occupied,k,Testlines,max batch,time per batch (s),Cost on full run ($),Relative Cost,Overall Accuracy (%),Full Set Num,Actual Full Num,,,,,,,,,
7B,2,0,0,22,35.9,0.018131,1.0,55.5,1000,164,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,1,1,22,44.6,0.022525,1.2,55.5,,,,,,,,,,,
,,,2,22,45.9,0.023182,1.3,55.5,,,,,,,,,,,
,,,3,22,55.1,0.027828,1.5,55.5,,,,,,,,,,,
,,,4,22,66.9,0.033788,1.9,55.5,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,2,1,10,34.7,0.038556,2.1,56.1,,,,,,,,,,,
,,,2,10,51.0,0.056667,3.1,60.4,,,,,,,,,,,
,,,3,10,61.8,0.068667,3.8,61.6,,,,,,,,,,,
,,,4,10,49.4,0.054889,3.0,62.2,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,3,1,7,42.6,0.067619,3.7,58.5,,,,,,,,,,,
,,,2,7,41.9,0.066508,3.7,63.4,,,,,,,,,,,
,,,3,7,44.5,0.070635,3.9,64.6,,,,,,,,,,,
,,,4,7,61.9,0.098254,5.4,65.9,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,4,1,5,42.9,0.095333,5.3,60.4,,,,,,,,,,,
,,,2,5,43.7,0.097111,5.4,66.5,,,,,,,,,,,
,,,3,5,45.1,0.100222,5.5,67.1,,,,,,,,,,,
,,,4,5,43.6,0.096889,5.3,68.3,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,5,1,3,30.7,0.113704,6.3,62.2,,,,,,,,,,,
,,,2,3,33.4,0.123704,6.8,67.7,,,,,,,,,,,
,,,3,3,33.5,0.124074,6.8,68.3,,,,,,,,,,,
,,,4,3,44.7,0.165556,9.1,70.1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,10,1,1,20.1,0.223333,12.3,65.2,,,,,,,,,,,
,,,2,1,25.2,0.280000,15.4,70.1,,,,,,,,,,,
,,,3,1,21.0,0.233333,12.9,70.7,,,,,,,,,,,
,,,4,1,28.1,0.312222,17.2,74.4,,,,,,,,,,,
